topic_id,parent_id,parent_name,name,documents,enabled,eligible_leaf_documents,rule_id,definition,candidate_clusters1000,seed_status,object_pattern,task_pattern,exclude_title_pattern,precision_required_title,precision_excluded_title,precision_note,review_status
M000.cooling,M000,电池与充电设施热管理,电池冷却与散热,5409,True,5389,M000.cooling,研究对象须匹配“电池冷却与散热”对应对象，且满足所列任务；多任务冲突保留复核。,T0616|T0948|T0252|T0000|T0671|T0194|T0013|T0077|T0181|T0994,sample_object_task_supported,\bbatter(?:y|ies)\b|电池|电芯,cooling|heat.dissipation|thermal.management|冷却|散热|热管理,fuel.cell|燃料电池|solar.cell|太阳能电池|退火|TOPCon,,,,自动规则接受；抽样诊断；非专家全量验收
M000.preheating,M000,电池与充电设施热管理,电池低温预热,175,True,175,M000.preheating,研究对象须匹配“电池低温预热”对应对象，且满足所列任务；多任务冲突保留复核。,T0616|T0948|T0027,sample_object_task_supported,\bbatter(?:y|ies)\b|电池|电芯,preheat|low.temperature.heating|self.heating|预热|低温加热,fuel.cell|燃料电池,,,,自动规则接受；抽样诊断；非专家全量验收
M003.offshore_economics,M003,风能开发与风电技术经济,海上风电开发与技术经济,337,True,336,M003.offshore_economics,研究对象须匹配“海上风电开发与技术经济”对应对象，且满足所列任务；多任务冲突保留复核。,T0003|T0100|T0645|T0444,sample_object_task_supported,offshore.wind|海上风电,econom|cost|development|经济|成本|开发,,economic|\bcost|financ|\binvest(?:ment|ing|or|ors|ments)?\b|\bmarket|LCOE|deploy|development.polic|经济|成本|开发规划|投资|部署,,技术系统的development/investigation不能替代海上风电开发经济研究,自动规则接受；抽样诊断；非专家全量验收
M003.wind_resources,M003,风能开发与风电技术经济,风能资源评估与选址,1906,True,1905,M003.wind_resources,研究对象须匹配“风能资源评估与选址”对应对象，且满足所列任务；多任务冲突保留复核。,T0003,sample_object_task_supported,wind.resource|wind.energy|风能资源|风能,assessment|potential|site.selection|评估|潜力|选址,,,,,自动规则接受；抽样诊断；非专家全量验收
M007.coating,M007,电极涂布与通用成形加工,电池电极涂布与辊压,187,True,187,M007.coating,研究对象须匹配“电池电极涂布与辊压”对应对象，且满足所列任务；多任务冲突保留复核。,T0147|T0723|T0776|T0760|T0646|T0850|T0473|T0341|T0414|T0658,sample_object_task_supported,\belectrodes?\b|\bbatter(?:y|ies)\b|电极|电池,coating|calender|涂布|辊压,electrodeposited|electrodeposition|电沉积,slurry|calender|slot.die|roll.to.roll|coating.(?:process|machine|equipment|uniformity|thickness)|涂布|辊压|浆料,,电极涂布制造须有工艺证据；材料表面包覆不足以接受,自动规则接受；抽样诊断；非专家全量验收
M010.biophotolysis,M010,光催化与光生物制氢,光生物制氢,45,True,45,M010.biophotolysis,研究对象须匹配“光生物制氢”对应对象，且满足所列任务；多任务冲突保留复核。,T0136|T0677|T0416,descriptor_retrieval_only_not_sample_approved,photoferment|biophotolysis|photobiological|光发酵|光生物,hydrogen|氢,,,,,自动规则接受；抽样诊断；非专家全量验收
M010.photocatalytic_h2,M010,光催化与光生物制氢,光催化制氢,12129,True,12117,M010.photocatalytic_h2,研究对象须匹配“光催化制氢”对应对象，且满足所列任务；多任务冲突保留复核。,T0561|T0087|T0010|T0289|T0474|T0235|T0204|T0920|T0941|T0131,sample_object_task_supported,photo(?:electro)?catal|photo.catal|光(?:电)?催化|photodegrad|光降解,hydrogen.evolution|hydrogen.production|hydrogen.generation|\bH2.production|析氢|制氢,carbon.dioxide.reduc|CO2.reduc|二氧化碳还原,,,,自动规则接受；抽样诊断；非专家全量验收
M011.dielectric_storage,M011,聚合物介电绝缘与储能,聚合物介电储能,4,True,4,M011.dielectric_storage,研究对象须匹配“聚合物介电储能”对应对象，且满足所列任务；多任务冲突保留复核。,T0586|T0121|T0646,descriptor_retrieval_only_not_sample_approved,polymer|聚合物,dielectric.energy.storage|energy.storage.density|介电储能|储能密度,,,,,自动规则接受；抽样诊断；非专家全量验收
M011.electrical_insulation,M011,聚合物介电绝缘与储能,聚合物电气绝缘,49,True,49,M011.electrical_insulation,研究对象须匹配“聚合物电气绝缘”对应对象，且满足所列任务；多任务冲突保留复核。,T0586|T0703|T0121,descriptor_retrieval_only_not_sample_approved,polymer|聚合物,electrical.insulation|dielectric.breakdown|电气绝缘|介电击穿,,,,,自动规则接受；抽样诊断；非专家全量验收
M012.packaging,M012,集成电路与电子封装,集成电路与功率模块封装,99,True,99,M012.packaging,研究对象须匹配“集成电路与功率模块封装”对应对象，且满足所列任务；多任务冲突保留复核。,T0808|T0315|T0740,sample_object_task_supported,integrated.circuit|chip|power.module|集成电路|芯片|功率模块,packaging|encapsulat|封装,,,,,自动规则接受；抽样诊断；非专家全量验收
M015.algal_biofuel,M015,生物质能源利用与可持续性,藻类生物燃料,154,True,154,M015.algal_biofuel,研究对象须匹配“藻类生物燃料”对应对象，且满足所列任务；多任务冲突保留复核。,T0525|T0226,sample_object_task_supported,alga|藻,biofuel|biodiesel|生物燃料|生物柴油,,\balgae\b|\balgal\b|microalga|macroalga|藻,,藻类须有明确对象，不能由amalgam等词内片段推断,自动规则接受；抽样诊断；非专家全量验收
M015.sustainability,M015,生物质能源利用与可持续性,生物能源生命周期与可持续性,2257,True,2251,M015.sustainability,研究对象须匹配“生物能源生命周期与可持续性”对应对象，且满足所列任务；多任务冲突保留复核。,T0226|T0015|T0124|T0853|T0347|T0128|T0781,sample_object_task_supported,bioenergy|biomass|biofuel|生物能源|生物质|生物燃料,life.cycle|sustainab|生命周期|可持续,,,,,自动规则接受；抽样诊断；非专家全量验收
M016.electromagnetic,M016,电磁场耦合与电磁换能,电磁能量采集,481,True,481,M016.electromagnetic,研究对象须匹配“电磁能量采集”对应对象，且满足所列任务；多任务冲突保留复核。,T0317|T0026,sample_object_task_supported,electromagnetic|电磁,energy.harvest|能量采集,,,,,自动规则接受；抽样诊断；非专家全量验收
M016.piezoelectric,M016,电磁场耦合与电磁换能,压电能量采集,657,True,657,M016.piezoelectric,研究对象须匹配“压电能量采集”对应对象，且满足所列任务；多任务冲突保留复核。,T0317|T0084,sample_object_task_supported,piezoelectric|压电,energy.harvest|能量采集,,,,,自动规则接受；抽样诊断；非专家全量验收
