kind,omitted_metric,penalty,practical_tie_tolerance,selected_k
preference_sensitivity,,0.0,0.0,450
preference_sensitivity,,0.0,0.01,450
preference_sensitivity,,0.0,0.02,450
preference_sensitivity,,0.0,0.05,450
preference_sensitivity,,0.0,0.1,450
preference_sensitivity,,0.05,0.0,450
preference_sensitivity,,0.05,0.01,450
preference_sensitivity,,0.05,0.02,450
preference_sensitivity,,0.05,0.05,450
preference_sensitivity,,0.05,0.1,450
preference_sensitivity,,0.15,0.0,450
preference_sensitivity,,0.15,0.01,450
preference_sensitivity,,0.15,0.02,500
preference_sensitivity,,0.15,0.05,500
preference_sensitivity,,0.15,0.1,500
preference_sensitivity,,0.3,0.0,500
preference_sensitivity,,0.3,0.01,500
preference_sensitivity,,0.3,0.02,500
preference_sensitivity,,0.3,0.05,500
preference_sensitivity,,0.3,0.1,500
selection_metric_ablation,sampled_cosine_silhouette,0.15,0.05,500
selection_metric_ablation,simplified_silhouette_mean,0.15,0.05,500
selection_metric_ablation,davies_bouldin,0.15,0.05,450
selection_metric_ablation,nearest_center_cosine_mean,0.15,0.05,450
selection_metric_ablation,empty_topic_fraction,0.15,0.05,500
selection_metric_ablation,keyword_embedding_ari,0.15,0.05,500
