source_topic_index,source_topic_id,source_label,assigned_documents,category_index,category_id,category_name,mapping_status,quarantine_code
0,M000,电池与充电设施热管理,2068,0,C0001,电池与充电设施热管理,active,
1,M001,功能传感材料与电化学检测,8079,1,C0002,功能传感材料与电化学检测,active,
2,M002,电力电子控制与频率调节,6071,2,C0003,电力电子控制与频率调节,active,
3,M003,风能开发与风电技术经济,16789,3,C0004,风能开发与风电技术经济,active,
4,M004,钙钛矿氧化物电催化,6707,4,C0005,钙钛矿氧化物电催化,active,
5,M005,电网建设与供电服务政策,891,5,C0006,电网建设与供电服务政策,active,
6,M006,层状电池正极与离子导体,10778,6,C0007,层状电池正极与离子导体,active,
7,M007,电极涂布与通用成形加工,2640,7,C0008,电极涂布与通用成形加工,active,
8,M008,二氧化碳电还原催化,18060,8,C0009,二氧化碳电还原催化,active,
9,M009,土壤碳过程与土壤改良,8771,9,C0010,土壤碳过程与土壤改良,active,
10,M010,光催化与光生物制氢,8403,10,C0011,光催化与光生物制氢,active,
11,M011,聚合物介电绝缘与储能,8560,11,C0012,聚合物介电绝缘与储能,active,
12,M012,集成电路与电子封装,6305,12,C0013,集成电路与电子封装,active,
13,M013,电池单体模组及用电器件混合,2653,13,C0014,电池单体模组及用电器件混合,active,
14,M014,通用机器学习与优化算法,12972,14,C0015,通用机器学习与优化算法,active,
15,M015,生物质能源利用与可持续性,14627,15,C0016,生物质能源利用与可持续性,active,
16,M016,电磁场耦合与电磁换能,11236,16,C0017,电磁场耦合与电磁换能,active,
17,M017,电力智能算法与多场景辨识,5803,17,C0018,电力智能算法与多场景辨识,active,
18,M018,太阳能采集光学与空间应用,12392,18,C0019,太阳能采集光学与空间应用,active,
19,M019,纳米复合材料与多类器件,11869,19,C0020,纳米复合材料与多类器件,active,
20,M020,金属离子吸附与材料化学,12882,20,C0021,金属离子吸附与材料化学,active,
21,M021,钠离子电池材料与电解液,2536,21,C0022,钠离子电池材料与电解液,active,
22,M022,功率半导体器件与电路结构,2786,22,C0023,功率半导体器件与电路结构,active,
23,M023,海洋资源开发与海上工程,8670,23,C0024,海洋资源开发与海上工程,active,
24,M024,通用防护支撑与安装结构混杂簇024,2257,24,C0025,通用防护支撑与安装结构混杂簇024,active,
25,M025,硫化镉等硫族薄膜制备,6429,25,C0026,硫化镉等硫族薄膜制备,active,
26,M026,变压器与高压开关设备,13474,26,C0027,变压器与高压开关设备,active,
27,M027,电动汽车充电设施及并网,6665,27,C0028,电动汽车充电设施及并网,active,
28,M028,聚变等离子体诊断,12510,28,C0029,聚变等离子体诊断,active,
29,M029,碳基电极与多孔材料制备,2546,29,C0030,碳基电极与多孔材料制备,active,
30,M030,车辆驱动制动与运动控制,14154,30,C0031,车辆驱动制动与运动控制,active,
31,M031,煤炭产业布局与清洁利用政策,1739,31,C0032,煤炭产业布局与清洁利用政策,active,
32,M032,石油产业与油价经济,19492,32,C0033,石油产业与油价经济,active,
33,M033,污泥资源化与水处理,9785,33,C0034,污泥资源化与水处理,active,
34,M034,太阳能集热与热利用装置,1814,34,C0035,太阳能集热与热利用装置,active,
35,M035,风机传动支撑与轴承部件,2006,35,C0036,风机传动支撑与轴承部件,active,
36,M036,光催化二氧化碳转化与氧化还原,17096,36,C0037,光催化二氧化碳转化与氧化还原,active,
37,M037,电气计量校准与测量不确定度,10427,37,C0038,电气计量校准与测量不确定度,active,
38,M038,碳达峰与综合节能政策,862,38,C0039,碳达峰与综合节能政策,active,
39,M039,碳定价与减排经济机制,17615,39,C0040,碳定价与减排经济机制,active,
