raw_topic_id,cluster,reviewed_name,merged_topic_id,merged_name,domain,status,merged_domain,merged_status,merge_reason
B000,0,电池与充电设施热管理,M000,电池与充电设施热管理,电化学储能,宽泛待细分,电化学储能,宽泛待细分,保留独立类群
B001,1,功能传感材料与电化学检测,M001,功能传感材料与电化学检测,其他基础与关联学科,关联基础研究,其他基础与关联学科,关联基础研究,保留独立类群
B002,2,电力电子控制与频率调节,M002,电力电子控制与频率调节,电网与电力系统,混杂待重分,电网与电力系统,混杂待重分,保留独立类群
B003,3,风能开发与风电技术经济,M003,风能开发与风电技术经济,风能与水能海洋能源,宽泛待细分,风能与水能海洋能源,宽泛待细分,保留独立类群
B004,4,钙钛矿氧化物电催化,M004,钙钛矿氧化物电催化,能源材料与电化学基础,方向候选,能源材料与电化学基础,方向候选,保留独立类群
B005,5,电网建设与供电服务政策,M005,电网建设与供电服务政策,能源政策与治理,宽泛待细分,能源政策与治理,宽泛待细分,保留独立类群
B006,6,层状电池正极与离子导体,M006,层状电池正极与离子导体,电化学储能,混杂待重分,电化学储能,混杂待重分,保留独立类群
B007,7,电极涂布与通用成形加工,M007,电极涂布与通用成形加工,制造与通用装置,混杂待重分,制造与通用装置,混杂待重分,保留独立类群
B008,8,二氧化碳电还原催化,M008,二氧化碳电还原催化,碳与环境,方向候选,碳与环境,方向候选,保留独立类群
B009,9,土壤碳过程与土壤改良,M009,土壤碳过程与土壤改良,碳与环境,关联基础研究,碳与环境,关联基础研究,保留独立类群
B010,10,光催化与光生物制氢,M010,光催化与光生物制氢,氢能与燃料电池,宽泛待细分,氢能与燃料电池,宽泛待细分,保留独立类群
B011,11,聚合物介电绝缘与储能,M011,聚合物介电绝缘与储能,能源材料与电化学基础,宽泛待细分,能源材料与电化学基础,宽泛待细分,保留独立类群
B012,12,集成电路与电子封装,M012,集成电路与电子封装,电力电子与电机,宽泛待细分,电力电子与电机,宽泛待细分,保留独立类群
B013,13,电池单体模组及用电器件混合,M013,电池单体模组及用电器件混合,电化学储能,混杂待重分,电化学储能,混杂待重分,保留独立类群
B014,14,通用机器学习与优化算法,M014,通用机器学习与优化算法,数字技术与测量,关联基础研究,数字技术与测量,关联基础研究,保留独立类群
B015,15,生物质能源利用与可持续性,M015,生物质能源利用与可持续性,生物质与资源循环,宽泛待细分,生物质与资源循环,宽泛待细分,保留独立类群
B016,16,电磁场耦合与电磁换能,M016,电磁场耦合与电磁换能,电力电子与电机,宽泛待细分,电力电子与电机,宽泛待细分,保留独立类群
B017,17,电力智能算法与多场景辨识,M017,电力智能算法与多场景辨识,数字技术与测量,混杂待重分,数字技术与测量,混杂待重分,保留独立类群
B018,18,太阳能采集光学与空间应用,M018,太阳能采集光学与空间应用,太阳能,混杂待重分,太阳能,混杂待重分,保留独立类群
B019,19,纳米复合材料与多类器件,M019,纳米复合材料与多类器件,能源材料与电化学基础,混杂待重分,能源材料与电化学基础,混杂待重分,保留独立类群
B020,20,金属离子吸附与材料化学,M020,金属离子吸附与材料化学,碳与环境,混杂待重分,碳与环境,混杂待重分,保留独立类群
B021,21,钠离子电池材料与电解液,M021,钠离子电池材料与电解液,电化学储能,宽泛待细分,电化学储能,宽泛待细分,保留独立类群
B022,22,功率半导体器件与电路结构,M022,功率半导体器件与电路结构,电力电子与电机,宽泛待细分,电力电子与电机,宽泛待细分,保留独立类群
B023,23,海洋资源开发与海上工程,M023,海洋资源开发与海上工程,风能与水能海洋能源,宽泛待细分,风能与水能海洋能源,宽泛待细分,保留独立类群
B024,24,通用防护支撑与安装结构混杂簇024,M024,通用防护支撑与安装结构混杂簇024,制造与通用装置,混杂待重分,制造与通用装置,混杂待重分,保留独立类群
B025,25,硫化镉等硫族薄膜制备,M025,硫化镉等硫族薄膜制备,太阳能,方向候选,太阳能,方向候选,保留独立类群
B026,26,变压器与高压开关设备,M026,变压器与高压开关设备,电网与电力系统,宽泛待细分,电网与电力系统,宽泛待细分,保留独立类群
B027,27,电动汽车充电设施及并网,M027,电动汽车充电设施及并网,交通与充电,宽泛待细分,交通与充电,宽泛待细分,保留独立类群
B028,28,聚变等离子体诊断,M028,聚变等离子体诊断,核能与等离子体,方向候选,核能与等离子体,方向候选,保留独立类群
B029,29,碳基电极与多孔材料制备,M029,碳基电极与多孔材料制备,能源材料与电化学基础,混杂待重分,能源材料与电化学基础,混杂待重分,保留独立类群
B030,30,车辆驱动制动与运动控制,M030,车辆驱动制动与运动控制,交通与充电,宽泛待细分,交通与充电,宽泛待细分,保留独立类群
B031,31,煤炭产业布局与清洁利用政策,M031,煤炭产业布局与清洁利用政策,能源政策与治理,政策类群,能源政策与治理,政策类群,保留独立类群
B032,32,石油产业与油价经济,M032,石油产业与油价经济,化石能源,宽泛待细分,化石能源,宽泛待细分,保留独立类群
B033,33,污泥资源化与水处理,M033,污泥资源化与水处理,生物质与资源循环,宽泛待细分,生物质与资源循环,宽泛待细分,保留独立类群
B034,34,太阳能集热与热利用装置,M034,太阳能集热与热利用装置,太阳能,宽泛待细分,太阳能,宽泛待细分,保留独立类群
B035,35,风机传动支撑与轴承部件,M035,风机传动支撑与轴承部件,风能与水能海洋能源,混杂待重分,风能与水能海洋能源,混杂待重分,保留独立类群
B036,36,光催化二氧化碳转化与氧化还原,M036,光催化二氧化碳转化与氧化还原,碳与环境,宽泛待细分,碳与环境,宽泛待细分,保留独立类群
B037,37,电气计量校准与测量不确定度,M037,电气计量校准与测量不确定度,数字技术与测量,宽泛待细分,数字技术与测量,宽泛待细分,保留独立类群
B038,38,碳达峰与综合节能政策,M038,碳达峰与综合节能政策,能源政策与治理,政策类群,能源政策与治理,政策类群,保留独立类群
B039,39,碳定价与减排经济机制,M039,碳定价与减排经济机制,碳与环境,方向候选,碳与环境,方向候选,保留独立类群
B040,40,电池单体与模组构件装配,M040,电池单体与模组构件装配,电化学储能,宽泛待细分,电化学储能,宽泛待细分,保留独立类群
B041,41,无线充电与充电器结构,M041,无线充电与充电器结构,交通与充电,宽泛待细分,交通与充电,宽泛待细分,保留独立类群
B042,42,气体处理气化与天然气水合物,M042,气体处理气化与天然气水合物,化石能源,混杂待重分,化石能源,混杂待重分,保留独立类群
B043,43,二氧化碳及混合气体膜分离,M043,二氧化碳及混合气体膜分离,碳与环境,方向候选,碳与环境,方向候选,保留独立类群
B044,44,铜铟镓硒薄膜光伏,M044,铜铟镓硒薄膜光伏,太阳能,方向候选,太阳能,方向候选,保留独立类群
B045,45,煤气化与燃煤清洁转化,M045,煤气化与燃煤清洁转化,化石能源,宽泛待细分,化石能源,宽泛待细分,保留独立类群
B046,46,分离膜制备与膜污染控制,M046,分离膜制备与膜污染控制,碳与环境,宽泛待细分,碳与环境,宽泛待细分,保留独立类群
B047,47,配电网柔性调度与协同规划,M047,配电网柔性调度与协同规划,电网与电力系统,宽泛待细分,电网与电力系统,宽泛待细分,保留独立类群
B048,48,电池隔膜与聚合物电解质,M048,电池隔膜、聚合物电解质与粘结剂,电化学储能,宽泛待细分,电化学储能,宽泛待细分,两簇均反复出现锂电池复合隔膜、原位聚合或凝胶电解质及聚合物粘结剂；例如芳纶涂覆隔膜与LATP涂层隔膜、立构复合电解质与静电纺丝凝胶电解质。无法据此建立稳定的隔膜/电解质分界，合并为已有宽泛材料类群；不并入专门的固态电解质簇049。通用胶带等边界混入仍保留风险标记。
B049,49,固态及凝胶聚合物电解质,M049,固态及凝胶聚合物电解质,电化学储能,方向候选,电化学储能,方向候选,保留独立类群
B050,50,储能及通用装置温控换热,M050,储能及通用装置温控换热,热工与能效,混杂待重分,热工与能效,混杂待重分,保留独立类群
B051,51,电气故障保护与暂态检测,M051,电气故障保护与暂态检测,电网与电力系统,宽泛待细分,电网与电力系统,宽泛待细分,保留独立类群
B052,52,电能变换与驱动控制电路,M052,电能变换与驱动控制电路,电力电子与电机,宽泛待细分,电力电子与电机,宽泛待细分,保留独立类群
B053,53,电价与输配电价监管政策,M053,电价与输配电价监管政策,能源政策与治理,政策类群,能源政策与治理,政策类群,保留独立类群
B054,54,含铜化合物结构与功能,M054,含铜化合物结构与功能,能源材料与电化学基础,混杂待重分,能源材料与电化学基础,混杂待重分,保留独立类群
B055,55,电储能系统配置与运行,M055,电储能系统配置与运行,电化学储能,宽泛待细分,电化学储能,宽泛待细分,保留独立类群
B056,56,射频微波电路与功率放大,M056,射频微波电路与功率放大,电力电子与电机,关联基础研究,电力电子与电机,关联基础研究,保留独立类群
B057,57,有价金属浸出回收,M057,有价金属浸出回收,生物质与资源循环,方向候选,生物质与资源循环,方向候选,保留独立类群
B058,58,厌氧过程微生物与生物能源,M058,厌氧过程微生物与生物能源,生物质与资源循环,宽泛待细分,生物质与资源循环,宽泛待细分,保留独立类群
B059,59,超级电容器电极与器件,M059,超级电容器电极与器件,电化学储能,方向候选,电化学储能,方向候选,保留独立类群
B060,60,有机合成与分子功能材料,M060,有机合成与分子功能材料,其他基础与关联学科,关联基础研究,其他基础与关联学科,关联基础研究,保留独立类群
B061,61,热工设备换热与工况分析,M061,热工设备换热与工况分析,热工与能效,混杂待重分,热工与能效,混杂待重分,保留独立类群
B062,62,生物质热解与炭化,M062,生物质热解与炭化,生物质与资源循环,方向候选,生物质与资源循环,方向候选,保留独立类群
B063,63,锂钠电池电解液与正极配方,M063,锂钠电池电解液与正极配方,电化学储能,混杂待重分,电化学储能,混杂待重分,保留独立类群
B064,64,电磁兼容干扰与电缆检测,M064,电磁兼容干扰与电缆检测,电力电子与电机,混杂待重分,电力电子与电机,混杂待重分,保留独立类群
B065,65,环境税费补贴与市场规制,M065,环境税费补贴与市场规制,碳与环境,宽泛待细分,碳与环境,宽泛待细分,保留独立类群
B066,66,钙钛矿光伏结晶与界面调控,M066,钙钛矿太阳能电池界面与器件性能,太阳能,方向候选,太阳能,宽泛待细分,两簇的中心、随机和边界样本共同涉及钙钛矿太阳能电池空穴传输层、界面钝化及器件效率。簇220的表面处理与异质结钝化同样属于簇066的主任务，现有证据不支持以结晶/结构两个名称分开。合并保留多个器件子任务的宽泛属性，不并入卤化物钙钛矿基础物性类群。
B067,67,水热溶剂热合成与功能材料,M067,水热溶剂热合成与功能材料,能源材料与电化学基础,混杂待重分,能源材料与电化学基础,混杂待重分,保留独立类群
B068,68,宽禁带半导体外延与结器件,M068,宽禁带半导体外延与结器件,电力电子与电机,宽泛待细分,电力电子与电机,宽泛待细分,保留独立类群
B069,69,气象水文预测与环境评估,M069,气象水文预测与环境评估,数字技术与测量,宽泛待细分,数字技术与测量,宽泛待细分,保留独立类群
B070,70,功能聚合物合成与结构,M070,功能聚合物合成与结构,能源材料与电化学基础,关联基础研究,能源材料与电化学基础,关联基础研究,保留独立类群
