rule_id,initial_topic_id,topic_id,parent_id,name,is_child,definition,seed_status,object_pattern,task_pattern,exclude_title_pattern,required_text_pattern,accepted_documents,candidate_seed_clusters1000,additional_precision_guards
M000.cooling,M000.cooling,M000.cooling,M000,电池冷却与散热,True,研究对象须匹配“电池冷却与散热”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,\bbatter(?:y|ies)\b|电池|电芯,cooling|heat.dissipation|thermal.management|冷却|散热|热管理,fuel.cell|燃料电池|solar.cell|太阳能电池|退火|TOPCon,,5409,T0616|T0948|T0252|T0000|T0671|T0194|T0013|T0077|T0181|T0994,src/decision_guards.py
M000.preheating,M000.preheating,M000.preheating,M000,电池低温预热,True,研究对象须匹配“电池低温预热”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,\bbatter(?:y|ies)\b|电池|电芯,preheat|low.temperature.heating|self.heating|预热|低温加热,fuel.cell|燃料电池,,175,T0616|T0948|T0027,src/decision_guards.py
M027.charger_thermal,M027.charger_thermal,M027.charger_thermal,M027,充电设施散热,True,研究对象须匹配“充电设施散热”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,charging.station|charging.pile|充电桩|充电站,cooling|thermal.management|heat.dissipation|散热|冷却|热管理,,,34,T0000|T0533|T0094,src/decision_guards.py
M348.runaway,M348.runaway,M348.runaway,M348,电池热失控与传播,True,研究对象须匹配“电池热失控与传播”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,\bbatter(?:y|ies)\b|电池|电芯,thermal.runaway|thermal.propagation|热失控|热蔓延,,,1850,T0616|T0948|T0461|T0671|T0169|T0000|T0760|T0040|T0374|T0199,src/decision_guards.py
M348.fire,M348.fire,M348.fire,M348,电池火灾抑制与灭火,True,研究对象须匹配“电池火灾抑制与灭火”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,\bbatter(?:y|ies)\b|电池|电芯,fire.suppress|fire.extinguish|fire.safety|灭火|火灾抑制|阻燃,,,238,T0461|T0291|T0296|T0437|T0671|T0506,src/decision_guards.py
M169.soc,M169.soc,M169.soc,M169,电池荷电状态估计,True,研究对象须匹配“电池荷电状态估计”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,\bbatter(?:y|ies)\b|电池|电芯,state.of.charge|\bSOC\b|荷电状态,state.of.health|\bSOH\b|remaining.useful.life|健康状态|剩余寿命,,3713,T0973|T0169|T0375|T0710|T0297|T0027|T0612|T0348|T0893|T0720,src/decision_guards.py
M169.soh_rul,M169.soh_rul,M169.soh_rul,M169,电池健康状态与寿命预测,True,研究对象须匹配“电池健康状态与寿命预测”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,\bbatter(?:y|ies)\b|电池|电芯,state.of.health|\bSOH\b|remaining.useful.life|battery.lifetime|健康状态|剩余寿命|寿命预测,,,3714,T0375|T0893|T0296|T0297|T0169|T0710|T0107,src/decision_guards.py
M169.ecm,M169.ecm,M169.ecm,M169,电池等效电路与参数辨识,True,研究对象须匹配“电池等效电路与参数辨识”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,\bbatter(?:y|ies)\b|电池|电芯,equivalent.circuit|parameter.identification|parameter.estimation|等效电路|参数辨识,state.of.charge|state.of.health|荷电状态|健康状态,,306,T0375|T0760|T0616,src/decision_guards.py
M296.second_life,M296.second_life,M296.second_life,M296,动力电池梯次利用,True,研究对象须匹配“动力电池梯次利用”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,\bbatter(?:y|ies)\b|电池|电芯,second.life|repurpos|梯次利用|梯次使用,,,385,T0296|T0526|T0107|T0301,src/decision_guards.py
M297.balancing,M297.balancing,M297.balancing,M297,电池单体均衡控制,True,研究对象须匹配“电池单体均衡控制”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,\bbatter(?:y|ies)\b|电池|电芯,cell.balanc|charge.balanc|equaliz|均衡,,,921,T0297|T0206|T0760|T0291|T0612|T0296|T0040|T0348,src/decision_guards.py
M206.impedance,M206.impedance,M206.impedance,M206,电池阻抗表征,True,研究对象须匹配“电池阻抗表征”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,\bbatter(?:y|ies)\b|电池|电芯,impedance.spectroscop|electrochemical.impedance|阻抗谱|阻抗表征,,,424,T0776|T0710|T0351|T0782,src/decision_guards.py
M206.aging,M206.aging,M206.aging,M206,电池老化实验与循环寿命,True,研究对象须匹配“电池老化实验与循环寿命”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,\bbatter(?:y|ies)\b|电池|电芯,aging|ageing|cycle.life|calendar.life|老化|循环寿命,prediction|forecast|estimat|预测|估计,,1180,T0701|T0169|T0776|T0374|T0720|T0063|T0735|T0506|T0077|T0824,src/decision_guards.py
M049.solid,M049.solid,M049.solid,M049,固态聚合物锂电解质,True,研究对象须匹配“固态聚合物锂电解质”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,polymer.electrolyte|聚合物电解质|聚合物固态电解质,solid|固态|固体,gel.polymer|凝胶|proton|质子|sodium|钠|zinc|锌,lithium|\bLiClO4\b|\bLiTFSI\b|\bLiFSI\b|锂,1868,T0940|T0586|T0126|T0646|T0049|T0121|T0650,src/decision_guards.py
M049.gel,M049.gel,M049.gel,M049,凝胶聚合物锂电解质,True,研究对象须匹配“凝胶聚合物锂电解质”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,polymer.electrolyte|聚合物电解质|聚合物凝胶电解质,gel|凝胶,proton|质子|sodium|钠|zinc|锌|supercapacitor|超级电容,lithium|\bLiClO4\b|\bLiTFSI\b|\bLiFSI\b|锂,1044,T0940|T0586|T0126|T0049|T0121|T0466,src/decision_guards.py
M048.separator,M048.separator,M048.separator,M048,电池隔膜制备与改性,True,研究对象须匹配“电池隔膜制备与改性”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,\bbatter(?:y|ies)\b|电池|电芯,separator|separating.membrane|隔膜,fuel.cell|燃料电池|membrane.reactor,,1406,T0291|T0824|T0063|T0836|T0461|T0147|T0506|T0723|T0565|T0646,src/decision_guards.py
M048.binder,M048.binder,M048.binder,M048,电池电极粘结剂,True,研究对象须匹配“电池电极粘结剂”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,\bbatter(?:y|ies)\b|电池|电芯,\bbinder|binding.agent|粘结剂|黏结剂,,,1440,T0723|T0063|T0506|T0646|T0711|T0782|T0687|T0279|T0126|T0257,src/decision_guards.py
M453.electrolyte,M453,M453,M453,二次电池电解液添加剂与配方,False,研究对象须匹配“液态电池电解液与添加剂”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,\bbatter(?:y|ies)\b|电池|电芯,electrolyte.additive|electrolyte.formulat|solvation.structure|电解液添加剂|电解液配方|溶剂化结构,lithium.metal|li.metal|锂金属|solid.polymer|固态聚合物,,525,T0453|T0327|T0824|T0374|T0049,src/decision_guards.py
M223.interface,M223.interface,M223.interface,M223,锂金属负极界面稳定与枝晶抑制,True,研究对象须匹配“锂金属负极界面稳定与枝晶抑制”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,lithium.metal|li.metal|锂金属|金属锂,dendrit|interphase|interface|anode.protect|artificial.SEI|枝晶|界面|负极保护|\bSEI\b,,,2474,T0659|T0782|T0006|T0646|T0414|T0817,src/decision_guards.py
M447.anode,M447.anode,M447.anode,M447,钠离子电池负极材料,True,研究对象须匹配“钠离子电池负极材料”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,sodium.ion|sodium.metal|na.ion|钠离子|钠电池,anod|负极,"cathod.{0,20}anod|正负极",,5474,T0453|T0374|T0063|T0591|T0414|T0924|T0828|T0983|T0029|T0943,src/decision_guards.py
M447.cathode,M447.cathode,M447.cathode,M447,钠离子电池正极材料,True,研究对象须匹配“钠离子电池正极材料”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,sodium.ion|sodium.metal|na.ion|钠离子|钠电池,cathod|positive.electrode|正极,"cathod.{0,20}anod|正负极",,4959,T0453|T0021|T0374|T0063|T0591|T0447|T0249|T0442|T0983|T0990,src/decision_guards.py
M021.electrolyte,M021.electrolyte,M021.electrolyte,M021,钠电池电解液与界面,True,研究对象须匹配“钠电池电解液与界面”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,sodium.ion|sodium.metal|na.ion|钠离子|钠电池,electrolyte|interphase|电解液|电解质|界面,,,1714,T0453|T0021|T0108|T0374|T0591|T0327|T0447|T0414|T0978|T0451,src/decision_guards.py
M108.zinc_ion,M108.zinc_ion,M108.zinc_ion,M108,水系锌离子电池,True,研究对象须匹配“水系锌离子电池”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,zinc.ion.batter|aqueous.zinc.batter|锌离子电池|水系锌电池,,,,5994,T0815|T0607|T0169|T0704|T0990|T0941|T0020,src/decision_guards.py
M108.zinc_air,M108.zinc_air,M108.zinc_air,M108,锌空气电池,True,研究对象须匹配“锌空气电池”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,zinc.air.batter|锌空气电池|锌空电池,,,,1964,T0815|T0265|T0004,src/decision_guards.py
M414.zinc_anode,M414,M414,M414,水系锌电池负极及界面稳定,False,研究对象须匹配“水系锌电池负极界面稳定”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,zinc|\bZn\b|锌,"anode.{0,35}(dendrit|interface|stabil)|dendrit.{0,30}anode|锌负极|负极界面|抑制锌枝晶",,,626,T0815|T0607|T0704|T0127,src/decision_guards.py
M261.lithium_sulfur,M261,M261,M261,锂硫电池正极与多硫化物调控,False,研究对象须匹配“锂硫电池与多硫化物调控”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,lithium.sulfur.batter|li.s.batter|锂硫电池|polysulfide.shuttl|多硫化物穿梭,,,,7659,T0958|T0959|T0257|T0279|T0701|T0983|T0924|T0729,src/decision_guards.py
M421.lfp,M421.lfp,M421.lfp,M421,锂电磷酸盐正极材料,True,研究对象须匹配“锂电磷酸盐正极材料”对应对象，且满足所列任务；多任务冲突保留复核。,sample_object_task_supported,lithium.iron.phosphate|LiFePO4|LiMnPO4|磷酸铁锂|磷酸锰铁锂,cathod|positive.electrode|正极|batter|电池,,,2235,T0318|T0174|T0734|T0029|T0687|T0943|T0345|T0440,src/decision_guards.py
