topic_index,topic_id,name,parent_id,kind,assigned_documents,inclusive_parent_documents,eligible_leaf_documents,accepted_topic_documents,enabled
0,M000,电池与充电设施热管理,M000,parent,2068,7652,0,0,True
1,M001,功能传感材料与电化学检测,M001,parent,8079,8079,0,0,True
2,M002,电力电子控制与频率调节,M002,parent,6071,6071,0,0,True
3,M003,风能开发与风电技术经济,M003,parent,16789,19032,0,0,True
4,M004,钙钛矿氧化物电催化,M004,parent,6707,6707,0,0,True
5,M005,电网建设与供电服务政策,M005,parent,891,891,0,12,True
6,M006,层状电池正极与离子导体,M006,parent,10778,10778,0,0,True
7,M007,电极涂布与通用成形加工,M007,parent,2640,2827,0,0,True
8,M008,二氧化碳电还原催化,M008,parent,18060,18060,0,6922,True
9,M009,土壤碳过程与土壤改良,M009,parent,8771,8771,0,0,True
10,M010,光催化与光生物制氢,M010,parent,8403,20577,0,0,True
11,M011,聚合物介电绝缘与储能,M011,parent,8560,8613,0,0,True
12,M012,集成电路与电子封装,M012,parent,6305,6404,0,0,True
13,M013,电池单体模组及用电器件混合,M013,parent,2653,2653,0,0,True
14,M014,通用机器学习与优化算法,M014,parent,12972,12972,0,0,True
15,M015,生物质能源利用与可持续性,M015,parent,14627,17038,0,0,True
16,M016,电磁场耦合与电磁换能,M016,parent,11236,12374,0,0,True
17,M017,电力智能算法与多场景辨识,M017,parent,5803,5803,0,0,True
18,M018,太阳能采集光学与空间应用,M018,parent,12392,12392,0,0,True
19,M019,纳米复合材料与多类器件,M019,parent,11869,11869,0,0,True
20,M020,金属离子吸附与材料化学,M020,parent,12882,12882,0,0,True
21,M021,钠离子电池材料与电解液,M021,parent,2536,4250,0,0,True
22,M022,功率半导体器件与电路结构,M022,parent,2786,2786,0,0,True
23,M023,海洋资源开发与海上工程,M023,parent,8670,9050,0,0,True
24,M024,通用防护支撑与安装结构混杂簇024,M024,parent,2257,2257,0,0,True
25,M025,硫化镉等硫族薄膜制备,M025,parent,6429,6429,0,0,True
26,M026,变压器与高压开关设备,M026,parent,13474,13474,0,0,True
27,M027,电动汽车充电设施及并网,M027,parent,6665,7286,0,0,True
28,M028,聚变等离子体诊断,M028,parent,12510,12510,0,0,True
29,M029,碳基电极与多孔材料制备,M029,parent,2546,2546,0,0,True
30,M030,车辆驱动制动与运动控制,M030,parent,14154,14154,0,0,True
31,M031,煤炭产业布局与清洁利用政策,M031,parent,1739,1739,0,0,True
32,M032,石油产业与油价经济,M032,parent,19492,21945,0,0,True
33,M033,污泥资源化与水处理,M033,parent,9785,9967,0,0,True
34,M034,太阳能集热与热利用装置,M034,parent,1814,4261,0,0,True
35,M035,风机传动支撑与轴承部件,M035,parent,2006,2006,0,0,True
36,M036,光催化二氧化碳转化与氧化还原,M036,parent,17096,21866,0,0,True
37,M037,电气计量校准与测量不确定度,M037,parent,10427,10427,0,0,True
38,M038,碳达峰与综合节能政策,M038,parent,862,862,0,0,True
39,M039,碳定价与减排经济机制,M039,parent,17615,17615,0,0,True
40,M040,电池单体与模组构件装配,M040,parent,4989,5487,0,0,True
41,M041,无线充电与充电器结构,M041,parent,2024,3239,0,0,True
42,M042,气体处理气化与天然气水合物,M042,parent,10603,11210,0,0,True
43,M043,二氧化碳及混合气体膜分离,M043,parent,6911,6911,0,0,True
44,M044,铜铟镓硒薄膜光伏,M044,parent,16487,16487,0,0,True
45,M045,煤气化与燃煤清洁转化,M045,parent,7769,8895,0,0,True
46,M046,分离膜制备与膜污染控制,M046,parent,15227,19289,0,0,True
47,M047,配电网柔性调度与协同规划,M047,parent,10358,11034,0,0,True
48,M048,电池隔膜、聚合物电解质与粘结剂,M048,parent,5322,8168,0,0,True
49,M049,固态及凝胶聚合物电解质,M049,parent,10596,13508,0,0,True
50,M050,储能及通用装置温控换热,M050,parent,3344,3344,0,0,True
51,M051,电气故障保护与暂态检测,M051,parent,2875,2875,0,0,True
52,M052,电能变换与驱动控制电路,M052,parent,2268,2268,0,0,True
53,M053,电价与输配电价监管政策,M053,parent,735,873,0,0,True
54,M054,含铜化合物结构与功能,M054,parent,9722,9722,0,0,True
55,M055,电储能系统配置与运行,M055,parent,9423,10697,0,0,True
56,M056,射频微波电路与功率放大,M056,parent,18791,18791,0,0,True
57,M057,有价金属浸出回收,M057,parent,16905,16905,0,0,True
58,M058,厌氧过程微生物与生物能源,M058,parent,9884,10692,0,0,True
59,M059,超级电容器电极与器件,M059,parent,28623,28623,0,26907,True
60,M060,有机合成与分子功能材料,M060,parent,16956,16956,0,0,True
61,M061,热工设备换热与工况分析,M061,parent,10988,10988,0,0,True
62,M062,生物质热解与炭化,M062,parent,16544,16544,0,4885,True
63,M063,锂钠电池电解液与正极配方,M063,parent,3043,3043,0,0,True
64,M064,电磁兼容干扰与电缆检测,M064,parent,9067,9067,0,0,True
65,M065,环境税费补贴与市场规制,M065,parent,13266,16052,0,0,True
66,M066,钙钛矿太阳能电池界面与器件性能,M066,parent,23090,32519,0,0,True
67,M067,水热溶剂热合成与功能材料,M067,parent,8405,8405,0,0,True
68,M068,宽禁带半导体外延与结器件,M068,parent,10227,13389,0,0,True
69,M069,气象水文预测与环境评估,M069,parent,8178,8178,0,0,True
