source_status,assignment_status,description
parent_retained_needs_review,retained_needs_review,沿用原类别，待复核
parent_retained,retained_baseline,沿用底稿标签，未重新逐条验收
peripheral_parent_retained,peripheral_retained,沿用外围或非研究类别，待复核
cross_parent_reclassified,reclassified,依据规则接受类别调整
refined_child,reclassified,依据规则接受类别调整
parent_supported,supported_current_label,当前类别获规则支持
broader_parent_suggestion_only,broader_candidate_pending,候选过宽，待复核
cross_parent_margin_pending,candidate_margin_pending,候选语义支持不足，待复核
abstract_task_pending,abstract_task_pending,任务仅在摘要或正文出现，待复核
multiple_tasks_pending,multiple_tasks_pending,多任务冲突，待复核
precision_guard_pending,precision_guard_pending,自动决定被精度检查撤回，待复核
cleaned_pending_reclassification,cleaned_pending_reclassification,已清理文本，主题待复核
quality_quarantine,quality_quarantine,质量隔离
reclassified_after_cleaning,reclassified_after_cleaning,文本清理后接受类别调整
