raw_cluster1000,raw_topic_id,raw_automatic_label,final_topic_index,final_topic_id,final_topic_label,semantic_merge_applied,merge_decision_id,final_label_status,raw_documents,raw_papers,raw_patents,raw_policies
0,T0000,0_液冷_冷却_冷却液_浸没,0,S0000,0_液冷_冷却_冷却液_浸没,False,,已抽样复核；保留原类；名称仍为自动标签,1354,14,1340,0
1,T0001,1_arsenic_arsenate_arsenite_arsenopyrite,1,S0001,1_arsenic_arsenate_arsenite_arsenopyrite,False,,完成清单初筛；保留原类及自动标签,4066,4066,0,0
2,T0002,2_变流器_虚拟_虚拟 阻抗_虚拟 同步,2,S0002,2_变流器_虚拟_虚拟 阻抗_虚拟 同步,False,,完成清单初筛；保留原类及自动标签,1954,354,1600,0
3,T0003,3_wind energy_offshore wind_wind power_wind farms,3,S0003,3_wind energy_offshore wind_wind power_wind farms,False,,完成清单初筛；保留原类及自动标签,13830,13830,0,0
4,T0004,4_perovskite oxides_perovskite oxide_perovskite type_perovskites,4,S0004,4_perovskite oxides_perovskite oxide_perovskite type_perovskites,False,,完成清单初筛；保留原类及自动标签,6863,6863,0,0
5,T0005,5_供电 企业_电网 企业_电力 需求_有序 用电,5,S0005,5_供电 企业_电网 企业_电力 需求_有序 用电,False,,完成清单初筛；保留原类及自动标签,368,158,4,206
6,T0006,6_lithium intercalation_lithium_lithium ions_lithium diffusion,6,S0006,6_lithium intercalation_lithium_lithium ions_lithium diffusion,False,,已抽样复核；保留原类；名称仍为自动标签,8826,8820,6,0
7,T0007,7_传感器_检测_裁切_检测 装置,7,S0007,7_传感器_检测_裁切_检测 装置,False,,完成清单初筛；保留原类及自动标签,975,147,828,0
8,T0008,8_complexes_ligand_ligands_ii complexes,8,S0008,8_complexes_ligand_ligands_ii complexes,False,,完成清单初筛；保留原类及自动标签,6331,6319,12,0
9,T0009,9_soil_soils_soil organic_organic carbon,9,S0009,9_soil_soils_soil organic_organic carbon,False,,完成清单初筛；保留原类及自动标签,6297,6295,2,0
10,T0010,10_photocatalytic hydrogen_hydrogen evolution_hydrogen production_driven hydrogen,10,S0010,10_photocatalytic hydrogen_hydrogen evolution_hydrogen production_driven hydrogen,False,,完成清单初筛；保留原类及自动标签,10635,10631,4,0
11,T0011,11_plasma treatment_nanofluids_spraying_droplets,11,S0011,11_plasma treatment_nanofluids_spraying_droplets,False,,完成清单初筛；保留原类及自动标签,2511,2503,8,0
12,T0012,12_emi_emc_electromagnetic interference_electromagnetic compatibility,12,S0012,12_emi_emc_electromagnetic interference_electromagnetic compatibility,False,,完成清单初筛；保留原类及自动标签,4228,4197,31,0
13,T0013,13_pack according_batterie_battery module_liquide,13,S0013,13_pack according_batterie_battery module_liquide,False,,完成清单初筛；保留原类及自动标签,650,14,636,0
14,T0014,14_sliding mode_nonlinear systems_sliding_mode control,14,S0014,14_sliding mode_nonlinear systems_sliding_mode control,False,,完成清单初筛；保留原类及自动标签,5932,5930,2,0
15,T0015,15_biomass energy_bioenergy_crops_biomass,15,S0015,15_biomass energy_bioenergy_crops_biomass,False,,完成清单初筛；保留原类及自动标签,10865,10861,3,1
16,T0016,16_magnet_magnetic field_permanent_magnets,16,S0016,16_magnet_magnetic field_permanent_magnets,False,,完成清单初筛；保留原类及自动标签,5544,5491,53,0
17,T0017,17_拓扑_节点_神经网络_融合,17,S0017,17_拓扑_节点_神经网络_融合,False,,完成清单初筛；保留原类及自动标签,1811,442,1369,0
18,T0018,18_sunspot_solar cycle_coronal_solar wind,18,S0018,18_sunspot_solar cycle_coronal_solar wind,False,,完成清单初筛；保留原类及自动标签,8573,8573,0,0
19,T0019,19_nanocomposites_polypyrrole_halloysite_polyaniline,19,S0019,19_nanocomposites_polypyrrole_halloysite_polyaniline,False,,完成清单初筛；保留原类及自动标签,7596,7595,1,0
20,T0020,20_copper_cadmium_copper ii_leaching,20,S0020,20_copper_cadmium_copper ii_leaching,False,,完成清单初筛；保留原类及自动标签,7869,7859,10,0
21,T0021,21_取代_电解液_复合 氧化物_添加剂,21,S0021,21_取代_电解液_复合 氧化物_添加剂,False,,完成清单初筛；保留原类及自动标签,1960,288,1672,0
22,T0022,22_铜排_铜箔_铝合金_金属,22,S0022,22_铜排_铜箔_铝合金_金属,False,,完成清单初筛；保留原类及自动标签,1017,135,882,0
23,T0023,23_warming_global warming_ocean_forcing,23,S0023,23_warming_global warming_ocean_forcing,False,,完成清单初筛；保留原类及自动标签,4939,4939,0,0
