baseline_category_id,baseline_category_name,category_id,category_name,quarantine_code,quarantine_reason,documents
,原无研究类别,,,Q.UNUSABLE,原始文本不可用,2391
C0001,电池与充电设施热管理,C0060,超级电容器电极与器件,,,1
C0001,电池与充电设施热管理,C0412,质子交换膜燃料电池运行与建模,,,1
C0001,电池与充电设施热管理,C0487,电池冷却与散热,,,1381
C0001,电池与充电设施热管理,C0488,电池低温预热,,,16
C0001,电池与充电设施热管理,C0491,电池电极涂布与辊压,,,1
C0001,电池与充电设施热管理,C0503,充电设施散热,,,11
C0001,电池与充电设施热管理,C0511,电池装配工装与制造设备,,,10
C0001,电池与充电设施热管理,C0519,电池隔膜制备与改性,,,11
C0001,电池与充电设施热管理,C0591,电池等效电路与参数辨识,,,1
C0001,电池与充电设施热管理,C0641,电池盖板、端子与密封结构,,,3
C0001,电池与充电设施热管理,C0657,电池单体均衡控制,,,6
C0001,电池与充电设施热管理,C0683,电池火灾抑制与灭火,,,32
C0001,电池与充电设施热管理,C0684,电池热失控与传播,,,143
C0001,电池与充电设施热管理,C0699,电池模组与电池包装配结构,,,23
C0001,电池与充电设施热管理,,,Q.EDITORIAL,封面、索引、勘误等非研究正文,2
C0002,功能传感材料与电化学检测,C0500,压电能量采集,,,9
C0002,功能传感材料与电化学检测,C0501,钠电池电解液与界面,,,1
C0002,功能传感材料与电化学检测,C0510,光催化二氧化碳还原,,,1
C0002,功能传感材料与电化学检测,C0533,氮化镓功率与结器件,,,1
C0002,功能传感材料与电化学检测,C0537,其他材料光催化污染物降解,,,2
C0002,功能传感材料与电化学检测,C0555,锌空气电池,,,1
C0002,功能传感材料与电化学检测,C0586,小分子有机太阳能电池,,,1
C0002,功能传感材料与电化学检测,C0602,摩擦纳米发电机,,,80
C0002,功能传感材料与电化学检测,,,Q.EDITORIAL,封面、索引、勘误等非研究正文,3
C0003,电力电子控制与频率调节,C0060,超级电容器电极与器件,,,4
C0003,电力电子控制与频率调节,C0154,无线电能传输电路与系统,,,1
C0003,电力电子控制与频率调节,C0246,虚拟电厂资源聚合与调度,,,1
C0003,电力电子控制与频率调节,C0386,感应电机运行控制与性能,,,8
C0003,电力电子控制与频率调节,C0408,配电网重构与优化运行,,,1
C0003,电力电子控制与频率调节,C0412,质子交换膜燃料电池运行与建模,,,1
C0003,电力电子控制与频率调节,C0499,电磁能量采集,,,1
C0003,电力电子控制与频率调节,C0504,电动汽车充电并网影响,,,1
C0003,电力电子控制与频率调节,C0512,无线充电器与装置,,,1
C0003,电力电子控制与频率调节,C0517,配电网需求响应与柔性调度,,,4
C0003,电力电子控制与频率调节,C0525,储能容量配置与选址,,,1
C0003,电力电子控制与频率调节,C0535,燃料电池供气与空压控制,,,1
C0003,电力电子控制与频率调节,C0539,配电网谐波与电能质量治理,,,3
C0003,电力电子控制与频率调节,C0540,配电网电压无功优化,,,4
C0003,电力电子控制与频率调节,C0542,光伏组件故障与缺陷检测,,,1
C0003,电力电子控制与频率调节,C0552,微电网能量管理与经济调度,,,2
C0003,电力电子控制与频率调节,C0581,微电网下垂控制与功率分配,,,2
C0003,电力电子控制与频率调节,C0582,微电网孤岛切换与动态控制,,,16
C0003,电力电子控制与频率调节,C0613,电力系统可靠性评估,,,1
C0003,电力电子控制与频率调节,C0626,屋顶与分布式光伏部署,,,1
C0003,电力电子控制与频率调节,C0636,综合能源系统优化调度,,,2
C0003,电力电子控制与频率调节,C0638,电压检测与测量电路,,,1
C0003,电力电子控制与频率调节,C0645,电机驱动PWM与谐波控制,,,1
C0003,电力电子控制与频率调节,C0652,核裂变反应堆工程,,,1
C0003,电力电子控制与频率调节,C0654,能源电力教学实验平台,,,1
C0003,电力电子控制与频率调节,C0657,电池单体均衡控制,,,1
C0003,电力电子控制与频率调节,C0667,电网频率控制,,,274
C0003,电力电子控制与频率调节,C0686,电网灾害韧性与恢复,,,8
C0003,电力电子控制与频率调节,C0700,永磁同步电机控制,,,14
C0003,电力电子控制与频率调节,C0710,水电站运行调度,,,1
C0003,电力电子控制与频率调节,C0711,水轮机性能与设计,,,2
