category_id,topic_id,top_keywords,top_keyword_ids,top_keyword_weights,active,paper_documents,train_documents,validation_documents,replay_documents,name,domain,status,analysis_scope,uniform_assigned_papers
N0001,0,Electrochemistry | Chemical engineering | Electrode | Chemistry | Nanotechnology | Catalysis | Inorganic chemistry | Physical chemistry | Organic chemistry | Electrolyte | Composite material | Cyclic voltammetry | Anode | Metallurgy | Carbon fibers,https://openalex.org/keywords/electrochemistry | https://openalex.org/keywords/chemical-engineering | https://openalex.org/keywords/electrode | https://openalex.org/keywords/chemistry | https://openalex.org/keywords/nanotechnology | https://openalex.org/keywords/catalysis | https://openalex.org/keywords/inorganic-chemistry | https://openalex.org/keywords/physical-chemistry | https://openalex.org/keywords/organic-chemistry | https://openalex.org/keywords/electrolyte | https://openalex.org/keywords/composite-material | https://openalex.org/keywords/cyclic-voltammetry | https://openalex.org/keywords/anode | https://openalex.org/keywords/metallurgy | https://openalex.org/keywords/carbon-fibers,16.691 | 7.93303 | 7.92697 | 4.37403 | 3.51075 | 3.37269 | 2.39029 | 1.00016 | 0.993618 | 0.828985 | 0.568127 | 0.493945 | 0.431749 | 0.396658 | 0.390453,True,46,30,8,8,Electrochemistry / Chemical engineering / Electrode,待主题范围审阅,NMF关键词主题,待主题范围审阅,42
N0002,1,Engineering | Electrical engineering | Computer science | Power (physics) | Voltage | Electronic engineering | Control theory (sociology) | Automotive engineering | Mechanical engineering | Renewable energy | Photovoltaic system | Telecommunications | Control (management) | Grid | Environmental science,https://openalex.org/keywords/engineering | https://openalex.org/keywords/electrical-engineering | https://openalex.org/keywords/computer-science | https://openalex.org/keywords/power | https://openalex.org/keywords/voltage | https://openalex.org/keywords/electronic-engineering | https://openalex.org/keywords/control-theory | https://openalex.org/keywords/automotive-engineering | https://openalex.org/keywords/mechanical-engineering | https://openalex.org/keywords/renewable-energy | https://openalex.org/keywords/photovoltaic-system | https://openalex.org/keywords/telecommunications | https://openalex.org/keywords/control | https://openalex.org/keywords/grid | https://openalex.org/keywords/environmental-science,9.29806 | 9.26861 | 8.32539 | 4.01468 | 3.35656 | 1.34244 | 0.85169 | 0.77762 | 0.567908 | 0.513082 | 0.475628 | 0.431256 | 0.343689 | 0.314811 | 0.30071,True,124,108,7,9,Engineering / Electrical engineering / Computer science,待主题范围审阅,NMF关键词主题,待主题范围审阅,117
N0003,2,Photocatalysis | Visible spectrum | Catalysis | Photochemistry | Chemical engineering | Nanotechnology | Chemistry | Organic chemistry | Nuclear chemistry | Diffuse reflectance infrared fourier transform | Optoelectronics | Hydrogen production | Degradation (telecommunications) | Irradiation | Heterojunction,https://openalex.org/keywords/photocatalysis | https://openalex.org/keywords/visible-spectrum | https://openalex.org/keywords/catalysis | https://openalex.org/keywords/photochemistry | https://openalex.org/keywords/chemical-engineering | https://openalex.org/keywords/nanotechnology | https://openalex.org/keywords/chemistry | https://openalex.org/keywords/organic-chemistry | https://openalex.org/keywords/nuclear-chemistry | https://openalex.org/keywords/diffuse-reflectance-infrared-fourier-transform | https://openalex.org/keywords/optoelectronics | https://openalex.org/keywords/hydrogen-production | https://openalex.org/keywords/degradation | https://openalex.org/keywords/irradiation | https://openalex.org/keywords/heterojunction,17.9674 | 5.01354 | 3.77406 | 2.36566 | 1.94716 | 1.54436 | 1.5084 | 0.799975 | 0.750467 | 0.737629 | 0.64269 | 0.613712 | 0.377145 | 0.32988 | 0.251686,True,161,127,18,16,Photocatalysis / Visible spectrum / Catalysis,待主题范围审阅,NMF关键词主题,待主题范围审阅,143
N0004,3,Environmental science | Waste management | Engineering | Process engineering | Environmental engineering | Natural resource economics | Renewable energy | Pulp and paper industry | Meteorology | Environmental economics | Biomass (ecology) | Chemistry | Business | Economics | Geography,https://openalex.org/keywords/environmental-science | https://openalex.org/keywords/waste-management | https://openalex.org/keywords/engineering | https://openalex.org/keywords/process-engineering | https://openalex.org/keywords/environmental-engineering | https://openalex.org/keywords/natural-resource-economics | https://openalex.org/keywords/renewable-energy | https://openalex.org/keywords/pulp-and-paper-industry | https://openalex.org/keywords/meteorology | https://openalex.org/keywords/environmental-economics | https://openalex.org/keywords/biomass | https://openalex.org/keywords/chemistry | https://openalex.org/keywords/business | https://openalex.org/keywords/economics | https://openalex.org/keywords/geography,19.5075 | 3.43848 | 1.68601 | 1.27465 | 0.930745 | 0.567624 | 0.473731 | 0.422922 | 0.39562 | 0.320264 | 0.298617 | 0.290403 | 0.218182 | 0.212538 | 0.203917,True,254,211,23,20,Environmental science / Waste management / Engineering,待主题范围审阅,NMF关键词主题,待主题范围审阅,254
N0005,4,Optoelectronics | Nanotechnology | Energy conversion efficiency | Layer (electronics) | Thin film | Engineering physics | Solar cell | Optics | Planar | Photovoltaic system | Electrical engineering | Tandem | Polymer solar cell | Perovskite (structure) | Band gap,https://openalex.org/keywords/optoelectronics | https://openalex.org/keywords/nanotechnology | https://openalex.org/keywords/energy-conversion-efficiency | https://openalex.org/keywords/layer | https://openalex.org/keywords/thin-film | https://openalex.org/keywords/engineering-physics | https://openalex.org/keywords/solar-cell | https://openalex.org/keywords/optics | https://openalex.org/keywords/planar | https://openalex.org/keywords/photovoltaic-system | https://openalex.org/keywords/electrical-engineering | https://openalex.org/keywords/tandem | https://openalex.org/keywords/polymer-solar-cell | https://openalex.org/keywords/perovskite | https://openalex.org/keywords/band-gap,14.8208 | 7.1462 | 3.47538 | 1.9186 | 1.67624 | 1.12942 | 1.04694 | 0.993962 | 0.5618 | 0.518687 | 0.491786 | 0.421362 | 0.389514 | 0.379077 | 0.349495,True,59,40,12,7,Optoelectronics / Nanotechnology / Energy conversion efficiency,待主题范围审阅,NMF关键词主题,待主题范围审阅,58
N0006,5,Business | Environmental economics | Economics | Natural resource economics | Industrial organization | Finance | Renewable energy | Marketing | Operations management | Commerce | Supply chain | Economic growth | Revenue | Agricultural economics | Portfolio,https://openalex.org/keywords/business | https://openalex.org/keywords/environmental-economics | https://openalex.org/keywords/economics | https://openalex.org/keywords/natural-resource-economics | https://openalex.org/keywords/industrial-organization | https://openalex.org/keywords/finance | https://openalex.org/keywords/renewable-energy | https://openalex.org/keywords/marketing | https://openalex.org/keywords/operations-management | https://openalex.org/keywords/commerce | https://openalex.org/keywords/supply-chain | https://openalex.org/keywords/economic-growth | https://openalex.org/keywords/revenue | https://openalex.org/keywords/agricultural-economics | https://openalex.org/keywords/portfolio,16.0076 | 3.7116 | 2.77838 | 2.56452 | 1.48047 | 1.19851 | 0.901661 | 0.807049 | 0.61754 | 0.507768 | 0.440844 | 0.341509 | 0.341405 | 0.292747 | 0.260863,True,457,358,58,41,Business / Environmental economics / Economics,待主题范围审阅,NMF关键词主题,待主题范围审阅,453
N0007,6,Supercapacitor | Capacitance | Electrode | Power density | Nanotechnology | Pseudocapacitance | Graphene | Pseudocapacitor | Composite material | Horizontal scan rate | Specific surface area | Chemical engineering | Cyclic voltammetry | Capacitive sensing | Energy storage,https://openalex.org/keywords/supercapacitor | https://openalex.org/keywords/capacitance | https://openalex.org/keywords/electrode | https://openalex.org/keywords/power-density | https://openalex.org/keywords/nanotechnology | https://openalex.org/keywords/pseudocapacitance | https://openalex.org/keywords/graphene | https://openalex.org/keywords/pseudocapacitor | https://openalex.org/keywords/composite-material | https://openalex.org/keywords/horizontal-scan-rate | https://openalex.org/keywords/specific-surface-area | https://openalex.org/keywords/chemical-engineering | https://openalex.org/keywords/cyclic-voltammetry | https://openalex.org/keywords/capacitive-sensing | https://openalex.org/keywords/energy-storage,13.9293 | 8.03502 | 2.7348 | 1.14774 | 1.04363 | 0.794957 | 0.632699 | 0.543471 | 0.542421 | 0.505852 | 0.492978 | 0.475875 | 0.473394 | 0.390043 | 0.373819,True,656,497,69,90,Supercapacitor / Capacitance / Electrode,待主题范围审阅,NMF关键词主题,待主题范围审阅,646
N0008,7,Lithium (medication) | Anode | Lithium-ion battery | Ion | Battery (electricity) | Lithium metal | Cathode | Lithium iron phosphate | Lithium titanate | Lithium vanadium phosphate battery | Electrolyte | Lithium battery | Current collector | Energy density | Composite material,https://openalex.org/keywords/lithium | https://openalex.org/keywords/anode | https://openalex.org/keywords/lithium-ion-battery | https://openalex.org/keywords/ion | https://openalex.org/keywords/battery | https://openalex.org/keywords/lithium-metal | https://openalex.org/keywords/cathode | https://openalex.org/keywords/lithium-iron-phosphate | https://openalex.org/keywords/lithium-titanate | https://openalex.org/keywords/lithium-vanadium-phosphate-battery | https://openalex.org/keywords/electrolyte | https://openalex.org/keywords/lithium-battery | https://openalex.org/keywords/current-collector | https://openalex.org/keywords/energy-density | https://openalex.org/keywords/composite-material,15.2586 | 1.65785 | 1.56119 | 1.27048 | 0.751673 | 0.704568 | 0.553667 | 0.350717 | 0.289653 | 0.275539 | 0.260565 | 0.257856 | 0.187556 | 0.185154 | 0.176177,True,295,166,61,68,Lithium (medication) / Anode / Lithium-ion battery,待主题范围审阅,NMF关键词主题,待主题范围审阅,293
N0009,8,Computer science | Artificial intelligence | Telecommunications | Mathematics | Programming language | Database | World Wide Web | Data science | Operating system | Distributed computing | Algorithm | Real-time computing | Business | Data mining | Code (set theory),https://openalex.org/keywords/computer-science | https://openalex.org/keywords/artificial-intelligence | https://openalex.org/keywords/telecommunications | https://openalex.org/keywords/mathematics | https://openalex.org/keywords/programming-language | https://openalex.org/keywords/database | https://openalex.org/keywords/world-wide-web | https://openalex.org/keywords/data-science | https://openalex.org/keywords/operating-system | https://openalex.org/keywords/distributed-computing | https://openalex.org/keywords/algorithm | https://openalex.org/keywords/real-time-computing | https://openalex.org/keywords/business | https://openalex.org/keywords/data-mining | https://openalex.org/keywords/code,17.8892 | 0.716047 | 0.60095 | 0.446475 | 0.294121 | 0.249502 | 0.246699 | 0.241372 | 0.227026 | 0.217763 | 0.194468 | 0.18884 | 0.187176 | 0.171904 | 0.156067,True,520,425,54,41,Computer science / Artificial intelligence / Telecommunications,待主题范围审阅,NMF关键词主题,待主题范围审阅,518
N0010,9,Control theory (sociology) | Voltage | Control (management) | Electronic engineering | AC power | Three-phase | Automatic frequency control | Voltage source | Control engineering | Observer (physics) | Engineering | Controller (irrigation) | Physics | Sliding mode control | Decoupling (probability),https://openalex.org/keywords/control-theory | https://openalex.org/keywords/voltage | https://openalex.org/keywords/control | https://openalex.org/keywords/electronic-engineering | https://openalex.org/keywords/ac-power | https://openalex.org/keywords/three-phase | https://openalex.org/keywords/automatic-frequency-control | https://openalex.org/keywords/voltage-source | https://openalex.org/keywords/control-engineering | https://openalex.org/keywords/observer | https://openalex.org/keywords/engineering | https://openalex.org/keywords/controller | https://openalex.org/keywords/physics | https://openalex.org/keywords/sliding-mode-control | https://openalex.org/keywords/decoupling,16.625 | 4.39654 | 1.28239 | 0.870709 | 0.866475 | 0.790295 | 0.766526 | 0.672657 | 0.651842 | 0.638424 | 0.534694 | 0.518111 | 0.500194 | 0.480006 | 0.451512,True,106,75,11,20,Control theory (sociology) / Voltage / Control (management),待主题范围审阅,NMF关键词主题,待主题范围审阅,108
