category_index,category_id,category_name,documents,countable_documents,supported_documents,needs_review_documents,retracted_documents,text_cleaned_documents,semantic_label_changes,paper_documents,patent_documents,policy_documents
0,C0001,电池与充电设施热管理,2068,2067,0,2068,1,0,0,296,1772,0
1,C0002,功能传感材料与电化学检测,8079,8070,0,71,9,1,0,8049,30,0
2,C0003,电力电子控制与频率调节,6071,6070,0,6071,1,2,0,4619,1452,0
3,C0004,风能开发与风电技术经济,16789,16781,0,16789,8,7,0,16787,1,1
4,C0005,钙钛矿氧化物电催化,6707,6706,0,1253,1,31,0,6707,0,0
5,C0006,电网建设与供电服务政策,891,891,12,879,0,0,2,511,6,374
6,C0007,层状电池正极与离子导体,10778,10777,0,10778,1,35,0,10760,18,0
7,C0008,电极涂布与通用成形加工,2640,2640,0,2640,0,0,0,1180,1460,0
8,C0009,二氧化碳电还原催化,18060,18055,6922,2416,5,24,3147,18050,10,0
9,C0010,土壤碳过程与土壤改良,8771,8770,0,144,1,4,0,8759,12,0
10,C0011,光催化与光生物制氢,8403,8398,0,8403,5,18,0,8398,5,0
11,C0012,聚合物介电绝缘与储能,8560,8554,0,8560,6,1,0,8541,19,0
12,C0013,集成电路与电子封装,6305,6303,0,6305,2,0,0,6045,260,0
13,C0014,电池单体模组及用电器件混合,2653,2653,0,2653,0,0,0,31,2622,0
14,C0015,通用机器学习与优化算法,12972,12938,0,120,34,0,0,12972,0,0
15,C0016,生物质能源利用与可持续性,14627,14622,0,14627,5,9,0,14617,4,6
16,C0017,电磁场耦合与电磁换能,11236,11233,0,11236,3,1,0,11205,31,0
17,C0018,电力智能算法与多场景辨识,5803,5798,0,5803,5,0,0,4257,1546,0
18,C0019,太阳能采集光学与空间应用,12392,12385,0,12392,7,1,0,12366,26,0
19,C0020,纳米复合材料与多类器件,11869,11858,0,11869,11,24,0,11662,207,0
20,C0021,金属离子吸附与材料化学,12882,12871,0,12882,11,28,0,12857,25,0
21,C0022,钠离子电池材料与电解液,2536,2536,0,2536,0,15,0,639,1897,0
22,C0023,功率半导体器件与电路结构,2786,2786,0,2786,0,0,0,65,2721,0
23,C0024,海洋资源开发与海上工程,8670,8670,0,8670,0,1,0,8668,2,0
24,C0025,通用防护支撑与安装结构混杂簇024,2257,2257,0,2257,0,0,0,123,2134,0
25,C0026,硫化镉等硫族薄膜制备,6429,6426,0,86,3,0,0,6415,14,0
26,C0027,变压器与高压开关设备,13474,13473,0,13474,1,0,0,13464,10,0
27,C0028,电动汽车充电设施及并网,6665,6653,0,6665,12,0,0,6618,47,0
28,C0029,聚变等离子体诊断,12510,12506,0,852,4,0,0,12472,38,0
29,C0030,碳基电极与多孔材料制备,2546,2545,0,2546,1,0,0,873,1673,0
30,C0031,车辆驱动制动与运动控制,14154,14146,0,14154,8,3,0,13910,244,0
31,C0032,煤炭产业布局与清洁利用政策,1739,1739,0,16,0,1,0,1390,7,342
32,C0033,石油产业与油价经济,19492,19488,0,19492,4,0,0,19487,0,5
33,C0034,污泥资源化与水处理,9785,9783,0,9785,2,4,0,9677,108,0
34,C0035,太阳能集热与热利用装置,1814,1814,0,1814,0,0,0,1074,740,0
35,C0036,风机传动支撑与轴承部件,2006,2006,0,2006,0,0,0,304,1702,0
36,C0037,光催化二氧化碳转化与氧化还原,17096,17075,0,17096,21,44,0,17093,3,0
37,C0038,电气计量校准与测量不确定度,10427,10425,0,10427,2,0,0,10358,68,1
38,C0039,碳达峰与综合节能政策,862,862,0,29,0,0,0,576,4,282
39,C0040,碳定价与减排经济机制,17615,17586,0,501,29,0,0,17608,3,4
40,C0041,电池单体与模组构件装配,4989,4989,0,4989,0,0,0,53,4936,0
41,C0042,无线充电与充电器结构,2024,2022,0,2024,2,0,0,567,1457,0
42,C0043,气体处理气化与天然气水合物,10603,10599,0,10603,4,2,0,10578,25,0
43,C0044,二氧化碳及混合气体膜分离,6911,6907,0,873,4,7,0,6883,28,0
44,C0045,铜铟镓硒薄膜光伏,16487,16469,0,1182,18,15,0,16427,60,0
45,C0046,煤气化与燃煤清洁转化,7769,7768,0,7769,1,3,0,7706,63,0
46,C0047,分离膜制备与膜污染控制,15227,15219,0,15227,8,2,0,15162,65,0
47,C0048,配电网柔性调度与协同规划,10358,10349,0,10358,9,3,0,10078,280,0
48,C0049,电池隔膜、聚合物电解质与粘结剂,5322,5322,0,5322,0,2,0,1012,4310,0
49,C0050,固态及凝胶聚合物电解质,10596,10594,0,1786,2,17,0,10586,10,0
50,C0051,储能及通用装置温控换热,3344,3344,0,3344,0,0,0,991,2353,0
51,C0052,电气故障保护与暂态检测,2875,2875,0,2875,0,1,0,972,1903,0
52,C0053,电能变换与驱动控制电路,2268,2267,0,2268,1,0,0,977,1291,0
53,C0054,电价与输配电价监管政策,735,735,0,50,0,0,0,292,1,442
54,C0055,含铜化合物结构与功能,9722,9711,0,9722,11,41,0,9712,10,0
55,C0056,电储能系统配置与运行,9423,9394,0,9423,29,1,0,9378,45,0
56,C0057,射频微波电路与功率放大,18791,18786,0,350,5,1,0,18672,119,0
57,C0058,有价金属浸出回收,16905,16902,0,261,3,3,0,16838,67,0
58,C0059,厌氧过程微生物与生物能源,9884,9879,0,9884,5,2,0,9839,45,0
59,C0060,超级电容器电极与器件,28623,28584,26907,95,39,37,3868,28409,214,0
60,C0061,有机合成与分子功能材料,16956,16944,0,877,12,366,0,16816,140,0
61,C0062,热工设备换热与工况分析,10988,10986,0,10988,2,0,0,10952,36,0
62,C0063,生物质热解与炭化,16544,16539,4885,1180,5,18,3168,16534,10,0
63,C0064,锂钠电池电解液与正极配方,3043,3043,0,3043,0,0,0,294,2749,0
