merged_topic_id,name,domain,status,raw_clusters,raw_cluster_count,documents,papers,patents_2026,policies,review_note,merge_reason
M000,电池与充电设施热管理,电化学储能,宽泛待细分,B000,1,3710,982,2728,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M001,功能传感材料与电化学检测,其他基础与关联学科,关联基础研究,B001,1,8178,8148,30,0,初审查看全簇主题词及中心/随机样本题名；关联材料、方法或基础学科；是否属于能源电力范围需看逐条应用证据。,保留独立类群
M002,电力电子控制与频率调节,电网与电力系统,混杂待重分,B002,1,6489,4979,1510,0,初审查看全簇主题词及中心/随机样本题名；样本或主题词呈现不同对象、任务或文本格式的混杂；不作为干净技术方向。,保留独立类群
M003,风能开发与风电技术经济,风能与水能海洋能源,宽泛待细分,B003,1,18833,18831,1,1,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M004,钙钛矿氧化物电催化,能源材料与电化学基础,方向候选,B004,1,6781,6781,0,0,初审查看全簇主题词及中心/随机样本题名；可作为研究方向候选；仍可能含错分及外围文本，未验证簇纯度。,保留独立类群
M005,电网建设与供电服务政策,能源政策与治理,宽泛待细分,B005,1,911,512,7,392,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M006,层状电池正极与离子导体,电化学储能,混杂待重分,B006,1,12128,12106,22,0,初审查看全簇主题词及中心/随机样本题名；样本或主题词呈现不同对象、任务或文本格式的混杂；不作为干净技术方向。,保留独立类群
M007,电极涂布与通用成形加工,制造与通用装置,混杂待重分,B007,1,2678,1186,1492,0,初审查看全簇主题词及中心/随机样本题名；样本或主题词呈现不同对象、任务或文本格式的混杂；不作为干净技术方向。,保留独立类群
M008,二氧化碳电还原催化,碳与环境,方向候选,B008,1,15351,15347,4,0,初审查看全簇主题词及中心/随机样本题名；可作为研究方向候选；仍可能含错分及外围文本，未验证簇纯度。,保留独立类群
M009,土壤碳过程与土壤改良,碳与环境,关联基础研究,B009,1,8993,8981,12,0,初审查看全簇主题词及中心/随机样本题名；关联材料、方法或基础学科；是否属于能源电力范围需看逐条应用证据。,保留独立类群
M010,光催化与光生物制氢,氢能与燃料电池,宽泛待细分,B010,1,15898,15893,5,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M011,聚合物介电绝缘与储能,能源材料与电化学基础,宽泛待细分,B011,1,8994,8972,22,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M012,集成电路与电子封装,电力电子与电机,宽泛待细分,B012,1,6576,6308,268,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M013,电池单体模组及用电器件混合,电化学储能,混杂待重分,B013,1,2760,33,2727,0,初审查看全簇主题词及中心/随机样本题名；样本或主题词呈现不同对象、任务或文本格式的混杂；不作为干净技术方向。另查已记录的可用正文片段、随机及边界样本；无正文记录只能核题名。随机专利包含可穿戴电子设备充电控制，不能仅凭电池一词认定为单体/模组结构。,保留独立类群
M014,通用机器学习与优化算法,数字技术与测量,关联基础研究,B014,1,13109,13109,0,0,初审查看全簇主题词及中心/随机样本题名；关联材料、方法或基础学科；是否属于能源电力范围需看逐条应用证据。,保留独立类群
M015,生物质能源利用与可持续性,生物质与资源循环,宽泛待细分,B015,1,16091,16081,4,6,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M016,电磁场耦合与电磁换能,电力电子与电机,宽泛待细分,B016,1,11723,11691,32,0,初审查看全簇主题词及中心/随机样本题名；包含多种子技术、对象或任务，粒度偏宽；整簇合并不能完成细分。,保留独立类群
M017,电力智能算法与多场景辨识,数字技术与测量,混杂待重分,B017,1,5942,4318,1624,0,初审查看全簇主题词及中心/随机样本题名；样本或主题词呈现不同对象、任务或文本格式的混杂；不作为干净技术方向。,保留独立类群
M018,太阳能采集光学与空间应用,太阳能,混杂待重分,B018,1,12674,12647,27,0,初审查看全簇主题词及中心/随机样本题名；样本或主题词呈现不同对象、任务或文本格式的混杂；不作为干净技术方向。,保留独立类群
M019,纳米复合材料与多类器件,能源材料与电化学基础,混杂待重分,B019,1,12634,12418,216,0,初审查看全簇主题词及中心/随机样本题名；样本或主题词呈现不同对象、任务或文本格式的混杂；不作为干净技术方向。,保留独立类群
